date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-03-11,2015-03-16,2016-03-10,250,0.016008164225602983,-16008.164225602983,27908.426194944906,24588.703552827574,24479.849948617783,34628.674572869495,28164.223182459235,28048.399893892925,1736034,2.5,True,False,False,False
2016-03-14,2015-03-17,2016-03-11,250,-0.001282984665826624,1282.984665826624,27908.426194944906,24613.290297179545,24796.220850049147,34628.674572869495,28193.98547485968,28279.68137254267,1736037,2.5,True,False,False,False
2016-03-15,2015-03-18,2016-03-14,250,-0.0016309985821497867,1630.9985821497867,27908.426194944906,24603.36567458576,24641.014985726,34628.674572869495,28183.602232597335,28216.904308074856,1736038,2.5,True,False,False,False
2016-03-16,2015-03-19,2016-03-15,250,0.005770334669916085,-5770.334669916085,27908.426194944906,24595.022876156836,24396.24893830409,34628.674572869495,28166.131020871228,27991.542581833983,1736039,2.5,True,False,False,False
2016-03-17,2015-03-20,2016-03-16,250,0.006324210433259026,-6324.210433259026,27908.426194944906,24559.680195222467,24503.85581869974,34628.674572869495,28131.6663144797,28102.812402344753,1736040,2.5,True,False,False,False
2016-03-18,2015-03-23,2016-03-17,250,0.003921741273418024,-3921.741273418024,27908.426194944906,24552.935866434585,24600.053909936963,34628.674572869495,28122.5039695209,28151.982526159103,1736041,2.5,True,False,False,False
2016-03-21,2015-03-24,2016-03-18,250,0.0014179694895581892,-1417.9694895581893,27908.426194944906,24534.76700607733,24594.439366877417,34628.674572869495,28105.109963838135,28187.69179025614,1736044,2.5,True,False,False,False
2016-03-22,2015-03-25,2016-03-21,250,-0.0005378785686003583,537.8785686003583,27908.426194944906,24493.42768381727,24320.805535716954,34628.674572869495,28061.858385350126,27913.96116505407,1736045,2.5,True,False,False,False
2016-03-23,2015-03-26,2016-03-22,250,-0.006621105405080639,6621.105405080639,27908.426194944906,24339.384615344086,24237.93540095665,34628.674572869495,27893.664566116156,27621.763935861338,1736046,2.5,True,False,False,False
2016-03-24,2015-03-27,2016-03-23,250,-0.0004431829421163838,443.1829421163838,27908.426194944906,24373.51777827615,24506.52878241156,34628.674572869495,27930.30103959925,28212.89598817803,1736047,2.5,True,False,False,False
2016-03-28,2015-03-30,2016-03-24,250,0.0005908965589912321,-590.8965589912322,27908.426194944906,24382.29187066905,24400.308591865054,34628.674572869495,27938.762468863355,28147.935753913647,1736051,2.5,True,False,False,False
2016-03-29,2015-03-31,2016-03-28,250,0.009207418906806939,-9207.418906806939,27908.426194944906,24363.15699063884,24266.748816160114,34628.674572869495,27910.119255649923,27757.940465236894,1736052,2.5,True,False,False,False
2016-03-30,2015-04-01,2016-03-29,250,0.0043781434969604556,-4378.143496960455,27908.426194944906,24294.28887135431,24367.484920764917,34628.674572869495,27841.699010753513,27851.995970777745,1736053,2.5,True,False,False,False
2016-03-31,2015-04-02,2016-03-30,250,-0.002429720424020917,2429.720424020917,27908.426194944906,24265.030508881664,24246.024872055936,34628.674572869495,27812.793783364803,27729.445697011342,1736054,2.5,True,False,False,False
2016-04-01,2015-04-06,2016-03-31,250,0.006788779305335466,-6788.779305335466,27908.426194944906,24286.416366820275,24501.236670374965,34628.674572869495,27833.786614245626,27908.858782914,1736055,2.5,True,False,False,False
2016-04-04,2015-04-07,2016-04-01,250,-0.003243421080584987,3243.4210805849866,27908.426194944906,24286.570290108306,23990.778981981668,34628.674572869495,27834.008617663447,27557.273914057365,1736058,2.5,True,False,False,False
2016-04-05,2015-04-08,2016-04-04,250,-0.010038005213336598,10038.005213336597,27908.426194944906,24290.540691816885,24299.609663274223,34628.674572869495,27838.211480213766,27849.650503832196,1736059,2.5,True,False,False,False
2016-04-06,2015-04-09,2016-04-05,250,0.01086202456085888,-10862.02456085888,27908.426194944906,24384.48450043493,24331.15684374052,34628.674572869495,27938.026498402356,27811.82891480452,1736060,2.5,True,False,False,False
2016-04-07,2015-04-10,2016-04-06,250,-0.012038044524295053,12038.044524295054,27908.426194944906,24402.394788027304,24443.58683112654,34628.674572869495,27962.30278376462,27935.584187013003,1736061,2.5,True,False,False,False
2016-04-08,2015-04-13,2016-04-07,250,0.0026932039833811824,-2693.2039833811823,27908.426194944906,24523.55743570631,24597.24543481579,34628.674572869495,28090.929311976928,28191.19598554793,1736062,2.5,True,False,False,False
